Age,Education,Marital_Status,Income,Child,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,total_spent,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDealsPurchases,NumWebVisitsMonth,total_purchased,Accepted_campaign,Complain
69,higher_education,single,58138.0,no_child,2012-09-04,58,635,88,546,172,88,88,1617,8,10,4,3,7,22,last_campaign,0
72,higher_education,single,46344.0,kid_and_teen,2014-03-08,38,11,1,6,2,1,6,27,1,1,2,2,5,4,no campaign,0
61,higher_education,relationship,71613.0,no_child,2013-08-21,26,426,49,127,111,21,42,776,8,2,10,1,4,20,no campaign,0
42,higher_education,relationship,26646.0,only_kid,2014-02-10,26,11,4,20,10,3,5,53,2,0,4,2,6,6,no campaign,0
45,higher_education,relationship,58293.0,only_kid,2014-01-19,94,173,43,118,46,27,15,422,5,3,6,5,5,14,no campaign,0
59,higher_education,relationship,62513.0,only_teen,2013-09-09,16,520,42,98,0,42,14,716,6,4,10,2,6,20,no campaign,0
55,higher_education,single,55635.0,only_teen,2012-11-13,34,235,65,164,50,49,27,590,7,3,7,4,6,17,no campaign,0
41,higher_education,relationship,33454.0,only_kid,2013-05-08,32,76,10,56,3,1,23,169,4,0,4,2,8,8,no campaign,0
52,higher_education,relationship,30351.0,only_kid,2013-06-06,19,14,0,24,3,3,2,46,3,0,2,1,9,5,last_campaign,0
76,higher_education,relationship,5648.0,kid_and_teen,2014-03-13,68,28,0,6,1,1,13,49,1,0,0,1,20,1,3rd_campaign,0
43,higher_education,relationship,52247.25135379061,only_kid,2013-11-15,11,5,5,6,0,2,1,19,1,0,2,1,7,3,no campaign,0
50,Basic,relationship,7500.0,no_child,2012-11-13,59,6,16,11,11,1,16,61,2,0,3,1,8,5,no campaign,0
67,higher_education,single,63033.0,no_child,2013-11-15,82,194,61,480,225,112,30,1102,3,4,8,1,2,15,no campaign,0
74,higher_education,single,59354.0,kid_and_teen,2013-11-15,53,233,2,53,3,5,14,310,6,1,5,3,6,12,no campaign,0
39,higher_education,relationship,17323.0,no_child,2012-10-10,38,3,14,17,6,1,5,46,1,0,3,1,8,4,no campaign,0
80,higher_education,single,82800.0,no_child,2012-11-24,23,1006,22,115,59,68,45,1315,7,6,12,1,3,25,1st_campaign,0
46,higher_education,relationship,41850.0,kid_and_teen,2012-12-24,51,53,5,19,2,13,4,96,3,0,3,3,8,6,no campaign,0
80,higher_education,relationship,37760.0,no_child,2012-08-31,20,84,5,38,150,12,28,317,4,1,6,2,7,11,no campaign,0
77,higher_education,relationship,76995.0,only_teen,2013-03-28,91,1012,80,498,0,16,176,1782,11,4,9,2,5,24,1st_campaign,0
41,higher_education,single,33812.0,only_kid,2012-11-03,86,4,17,19,30,24,39,133,2,1,3,2,6,6,no campaign,0
44,higher_education,relationship,37040.0,no_child,2012-08-08,41,86,2,73,69,38,48,316,4,2,5,1,8,11,no campaign,0
47,higher_education,relationship,2447.0,only_kid,2013-01-06,42,1,1,1725,1,1,1,1730,0,28,0,15,1,28,no campaign,0
77,higher_education,relationship,58607.0,only_teen,2012-12-23,63,867,0,86,0,0,19,972,2,3,9,3,8,14,4th_campaign,0
72,higher_education,relationship,65324.0,only_teen,2014-01-11,0,384,0,102,21,32,5,544,6,2,9,3,4,17,no campaign,0
75,higher_education,relationship,40689.0,only_teen,2013-03-18,69,270,3,27,39,6,99,444,7,1,5,7,8,13,no campaign,0
57,higher_education,single,18589.0,no_child,2013-01-02,89,6,4,25,15,12,13,75,2,1,3,2,7,6,no campaign,0
50,higher_education,relationship,53359.0,kid_and_teen,2013-05-27,4,173,4,30,3,6,41,257,5,1,4,4,7,10,no campaign,0
40,higher_education,single,52247.25135379061,only_kid,2013-02-20,19,5,1,3,3,263,362,637,27,0,0,0,1,27,no campaign,0
37,higher_education,relationship,38360.0,only_kid,2013-05-31,26,36,2,42,20,21,10,131,2,1,4,2,3,7,no campaign,0
61,higher_education,relationship,84618.0,no_child,2013-11-22,96,684,100,801,21,66,0,1672,6,9,10,1,2,25,5th_campaign,0
37,higher_education,single,10979.0,no_child,2014-05-22,34,8,4,10,2,2,4,30,3,0,3,2,5,6,no campaign,0
63,higher_education,relationship,38620.0,no_child,2013-05-11,56,112,17,44,34,22,89,318,2,5,3,1,3,10,no campaign,0
56,higher_education,relationship,40548.0,only_teen,2012-10-10,31,110,0,5,2,0,3,120,2,1,4,2,5,7,4th_campaign,0
74,higher_education,single,46610.0,kid_and_teen,2012-10-29,8,96,12,96,33,22,43,302,4,1,6,6,6,11,last_campaign,0
80,higher_education,relationship,68657.0,no_child,2013-02-20,4,482,34,471,119,68,22,1196,3,5,9,1,7,17,no campaign,0
75,higher_education,single,49389.0,kid_and_teen,2013-08-29,55,40,0,19,2,1,3,65,2,0,3,1,7,5,no campaign,0
56,higher_education,relationship,67353.0,only_teen,2013-12-31,37,702,17,151,0,8,35,913,5,6,12,5,2,23,no campaign,0
50,higher_education,relationship,23718.0,only_kid,2013-09-02,76,6,3,14,15,7,36,81,3,1,2,3,7,6,no campaign,0
53,higher_education,single,42429.0,only_teen,2014-02-11,99,55,0,6,2,0,4,67,1,1,3,2,5,5,no campaign,0
83,higher_education,single,48948.0,no_child,2013-02-01,53,437,8,206,160,49,42,902,7,10,5,2,6,22,3rd_campaign,0
46,higher_education,relationship,80011.0,only_teen,2013-04-29,3,421,76,536,82,178,102,1395,8,6,5,2,4,19,no campaign,0
41,higher_education,relationship,20559.0,only_kid,2013-03-12,88,13,1,29,3,0,7,53,2,0,3,2,8,5,no campaign,0
69,higher_education,relationship,21994.0,only_teen,2012-12-24,4,9,0,6,3,1,3,22,0,0,3,1,5,3,no campaign,0
67,higher_education,single,52247.25135379061,no_child,2013-11-05,80,81,11,50,3,2,39,186,1,3,4,1,2,8,no campaign,0
51,higher_education,relationship,7500.0,only_kid,2013-10-02,19,3,1,10,3,2,12,31,2,0,3,3,5,5,no campaign,0
50,higher_education,single,79941.0,no_child,2014-06-28,72,123,164,266,227,30,174,984,2,4,9,1,1,15,no campaign,0
30,higher_education,relationship,7500.0,no_child,2012-11-09,24,3,18,14,15,22,50,122,3,1,3,3,9,7,last_campaign,0
58,higher_education,relationship,41728.0,only_kid,2013-05-24,92,13,6,15,3,5,13,55,2,0,2,1,10,4,no campaign,0
75,higher_education,single,52247.25135379061,kid_and_teen,2014-01-01,96,48,5,48,6,10,7,124,2,1,4,3,6,7,no campaign,0
72,higher_education,relationship,72550.0,kid_and_teen,2012-11-08,39,826,50,317,50,38,38,1319,5,2,12,9,8,19,no campaign,0
69,higher_education,single,65486.0,only_teen,2014-05-12,29,245,19,125,37,67,14,507,4,2,10,1,2,16,no campaign,0
62,higher_education,relationship,79143.0,no_child,2012-08-11,2,650,37,780,27,167,32,1693,6,9,13,1,3,28,no campaign,0
49,higher_education,single,35790.0,only_kid,2013-01-02,54,12,6,20,30,1,3,72,2,0,3,2,7,5,no campaign,0
49,higher_education,single,82582.0,no_child,2014-06-07,54,510,120,550,156,40,241,1617,4,9,7,1,1,20,1st_campaign,0
48,higher_education,relationship,66373.0,kid_and_teen,2013-06-12,57,328,9,124,12,24,109,606,4,2,10,7,3,16,no campaign,0
71,higher_education,relationship,82384.0,no_child,2012-11-19,55,984,51,432,180,120,190,1957,3,10,13,1,1,26,5th_campaign,0
60,higher_education,single,70287.0,no_child,2013-04-02,30,295,35,482,121,120,40,1093,5,5,10,1,3,20,last_campaign,0
38,higher_education,single,27938.0,only_kid,2014-04-28,31,13,0,8,2,1,5,29,1,0,4,1,3,5,no campaign,0
44,higher_education,single,52247.25135379061,only_kid,2013-06-17,57,11,3,22,2,2,6,46,2,0,3,2,6,5,no campaign,0
58,higher_education,relationship,55954.0,only_teen,2014-03-03,63,447,0,28,0,0,43,518,8,2,6,3,7,16,no campaign,0
44,higher_education,single,75777.0,no_child,2013-07-04,12,712,26,538,69,13,80,1438,3,6,11,1,1,20,4th_campaign,0
51,higher_education,relationship,66653.0,kid_and_teen,2012-09-07,18,452,18,102,16,18,6,612,4,2,12,4,3,18,no campaign,0
74,higher_education,single,61823.0,only_teen,2013-02-18,26,523,7,134,37,14,169,884,8,2,10,4,7,20,no campaign,0
75,higher_education,single,67680.0,only_teen,2013-06-11,8,546,0,48,0,6,6,606,7,3,8,1,5,18,no campaign,0
78,higher_education,relationship,70666.0,no_child,2013-12-06,29,398,40,367,119,122,30,1076,7,4,4,1,4,15,no campaign,0
55,higher_education,relationship,25721.0,only_kid,2013-05-21,75,1,3,6,3,6,15,34,1,1,2,1,7,4,last_campaign,0
59,higher_education,relationship,32474.0,kid_and_teen,2014-05-11,0,10,0,1,0,0,0,11,1,0,2,1,7,3,no campaign,0
47,higher_education,single,88194.0,only_teen,2014-03-19,19,688,14,309,201,24,38,1274,11,10,10,1,5,31,1st_campaign,0
68,higher_education,relationship,69096.0,only_teen,2013-09-27,4,247,49,159,7,82,109,653,5,2,10,1,4,17,no campaign,0
56,higher_education,relationship,74854.0,kid_and_teen,2013-04-08,90,856,59,487,58,29,73,1562,2,5,5,7,5,12,no campaign,0
72,higher_education,relationship,66991.0,no_child,2012-09-11,1,496,36,460,189,60,12,1253,4,8,6,3,3,18,no campaign,0
53,higher_education,relationship,52247.25135379061,only_kid,2012-09-14,25,25,3,43,17,4,17,109,3,0,3,3,8,6,no campaign,0
67,higher_education,relationship,65031.0,only_teen,2013-03-17,29,258,107,291,84,37,86,863,10,3,13,4,7,26,no campaign,0
51,higher_education,relationship,60631.0,kid_and_teen,2013-04-05,88,565,6,65,0,6,19,661,9,2,8,5,7,19,4th_campaign,0
74,higher_education,relationship,28332.0,no_child,2014-04-30,58,14,10,13,4,15,9,65,2,1,4,1,2,7,no campaign,0
49,higher_education,single,40246.0,only_kid,2012-12-19,68,2,1,6,2,1,1,13,1,0,2,1,6,3,no campaign,0
54,higher_education,relationship,75251.0,no_child,2012-08-27,34,721,111,925,97,18,18,1890,7,6,5,1,5,18,last_campaign,0
50,higher_education,single,75825.0,no_child,2012-10-12,40,1032,105,779,137,105,51,2209,5,8,9,0,4,22,3rd_campaign,0
50,higher_education,relationship,26326.0,no_child,2013-09-04,12,1,0,5,0,3,9,18,0,0,3,1,3,3,no campaign,1
61,higher_education,relationship,56046.0,no_child,2013-01-02,9,577,0,64,0,0,51,692,10,1,8,2,8,19,3rd_campaign,0
41,higher_education,single,29760.0,only_kid,2012-08-29,87,64,4,68,7,5,17,165,3,1,4,4,8,8,no campaign,0
57,higher_education,relationship,26304.0,only_kid,2013-06-23,5,4,1,5,2,0,4,16,1,0,2,1,7,3,no campaign,0
53,higher_education,relationship,23559.0,only_kid,2013-07-03,87,25,5,19,7,0,23,79,3,0,3,3,7,6,no campaign,0
63,higher_education,relationship,38620.0,no_child,2013-05-11,56,112,17,44,34,22,89,318,2,5,3,1,3,10,no campaign,0
